"pokemonId","abilityName","isHidden"
"3-n100","ぼうおん","false"
"3-n100","せいでんき","false"
"3-n100h","ぼうおん","false"
"3-n100h","せいでんき","false"
"3-n101","ぼうおん","false"
"3-n101","せいでんき","false"
"3-n101h","ぼうおん","false"
"3-n101h","せいでんき","false"
"3-n102","ようりょくそ","false"
"3-n103","ようりょくそ","false"
"3-n103a","おみとおし","false"
"3-n104","いしあたま","false"
"3-n104","ひらいしん","false"
"3-n105","いしあたま","false"
"3-n105","ひらいしん","false"
"3-n105a","のろわれボディ","false"
"3-n105a","ひらいしん","false"
"3-n106","じゅうなん","false"
"3-n106","すてみ","false"
"3-n107","するどいめ","false"
"3-n107","てつのこぶし","false"
"3-n108","マイペース","false"
"3-n108","どんかん","false"
"3-n109","ふゆう","false"
"3-n109","かがくへんかガス","false"
"3-n110","ふゆう","false"
"3-n110","かがくへんかガス","false"
"3-n110g","ふゆう","false"
"3-n110g","かがくへんかガス","false"
"3-n111","ひらいしん","false"
"3-n111","いしあたま","false"
"3-n112","ひらいしん","false"
"3-n112","いしあたま","false"
"3-n113","しぜんかいふく","false"
"3-n113","てんのめぐみ","false"
"3-n114","ようりょくそ","false"
"3-n114","リーフガード","false"
"3-n115","はやおき","false"
"3-n115","きもったま","false"
"3-n115m","おやこあい","false"
"3-n116","すいすい","false"
"3-n116","スナイパー","false"
"3-n117","どくのトゲ","false"
"3-n117","スナイパー","false"
"3-n118","すいすい","false"
"3-n118","みずのベール","false"
"3-n119","すいすい","false"
"3-n119","みずのベール","false"
"3-n120","はっこう","false"
"3-n120","しぜんかいふく","false"
"3-n121","はっこう","false"
"3-n121","しぜんかいふく","false"
"3-n122","ぼうおん","false"
"3-n122","フィルター","false"
"3-n122g","やるき","false"
"3-n122g","バリアフリー","false"
"3-n123","むしのしらせ","false"
"3-n123","テクニシャン","false"
"3-n124","どんかん","false"
"3-n124","よちむ","false"
"3-n125","せいでんき","false"
"3-n126","ほのおのからだ","false"
"3-n127","かいりきバサミ","false"
"3-n127","かたやぶり","false"
"3-n127m","スカイスキン","false"
"3-n128","いかく","false"
"3-n128","いかりのつぼ","false"
"3-n129","すいすい","false"
"3-n130","いかく","false"
"3-n130m","かたやぶり","false"
"3-n131","ちょすい","false"
